price,number_of_reviews,,,,,
35,125,,,,,
79,22,,,,,
65,251,,,,,
95,69,,,,,
67,78,,,,,
70,23,,,,,
65,188,,,,,
69,174,,,,,
49,92,,,,,
75,47,,,,,
75,65,,,,,
40,264,,,,,
137,57,,,,,
58,53,,,,,
78,274,,,,,
140,258,,,,,
60,12,,,,,
29,20,,,,,
200,0,,,,,
82,242,,,,,
70,483,,,,,
120,16,,,,,
120,16,,,,,
300,44,,,,,
25,14,,,,,
50,236,,,,,
55,98,,,,,
120,69,,,,,
94,13,,,,,
100,67,,,,,
70,66,,,,,
27,85,,,,,
75,331,,,,,
62,19,,,,,
85,332,,,,,
85,36,,,,,
85,462,,,,,
65,354,,,,,
75,44,,,,,
78,212,,,,,
64,133,,,,,
30,132,,,,,
85,176,,,,,
175,1,,,,,
110,99,,,,,
84,0,,,,,
100,44,,,,,
45,243,,,,,
90,4,,,,,
90,83,,,,,
58,135,,,,,
34,198,,,,,
49,273,,,,,
90,13,,,,,
400,0,,,,,
50,0,,,,,
125,38,,,,,
200,6,,,,,
100,7,,,,,
70,71,,,,,
110,13,,,,,
80,126,,,,,
100,33,,,,,
50,125,,,,,
61,229,,,,,
24,210,,,,,
80,38,,,,,
100,46,,,,,
70,150,,,,,
109,288,,,,,
109,301,,,,,
30,292,,,,,
65,1,,,,,
46,41,,,,,
60,2,,,,,
65,42,,,,,
40,214,,,,,
75,83,,,,,
60,218,,,,,
67,260,,,,,
21,20,,,,,
165,22,,,,,
85,11,,,,,
69,170,,,,,
67,221,,,,,
47,324,,,,,
77,12,,,,,
85,271,,,,,
40,103,,,,,
60,109,,,,,
58,9,,,,,
542,1,,,,,
89,9,,,,,
110,13,,,,,
59,11,,,,,
85,16,,,,,
85,23,,,,,
80,197,,,,,
33,133,,,,,
45,97,,,,,
44,265,,,,,
72,195,,,,,
31,101,,,,,
33,136,,,,,
99,45,,,,,
30,20,,,,,
120,14,,,,,
120,90,,,,,
75,141,,,,,
2,2019/6/29,,,,,
51,212,,,,,
70,16,,,,,
39,389,,,,,
70,191,,,,,
26,154,,,,,
49,348,,,,,
52,32,,,,,
69,34,,,,,
40,193,,,,,
