date,season,elo1_post
1973/9/16,1973,1333.462
1973/9/16,1973,1695.811
1973/9/16,1973,1346.868
1973/9/16,1973,1568.635
1973/9/16,1973,1348.795
1973/9/16,1973,1490.148
1973/9/16,1973,1553.484
1973/9/16,1973,1431.446
1973/9/16,1973,1625.353
1973/9/16,1973,1610.993
1973/9/16,1973,1514.041
1973/9/17,1973,1583.982
1973/9/23,1973,1324.518
1973/9/23,1973,1479.211
1973/9/23,1973,1437.266
1973/9/23,1973,1462.068
1973/9/23,1973,1587.417
1973/9/23,1973,1534.95
1973/9/23,1973,1579.507
1973/9/23,1973,1485.138
1973/9/23,1973,1493.738
1973/9/23,1973,1631.867
1973/9/23,1973,1554.712
1973/9/23,1973,1413.719
1973/9/24,1973,1603.188
1973/9/30,1973,1678.301
1973/9/30,1973,1435.936
1973/9/30,1973,1620.292
1973/9/30,1973,1426.914
1973/9/30,1973,1341.338
1973/9/30,1973,1541.386
1973/9/30,1973,1603.301
1973/9/30,1973,1309.719
1973/9/30,1973,1549.326
1973/9/30,1973,1445.708
1973/9/30,1973,1438.934
1973/9/30,1973,1528.914
1973/10/1,1973,1569.323
1973/10/7,1973,1352.816
1973/10/7,1973,1554.685
1973/10/7,1973,1556.331
1973/10/7,1973,1302.503
1973/10/7,1973,1652.852
1973/10/7,1973,1514.128
1973/10/7,1973,1346.627
1973/10/7,1973,1689.839
1973/10/7,1973,1539.409
1973/10/7,1973,1430.753
1973/10/7,1973,1458.817
1973/10/7,1973,1449.155
1973/10/8,1973,1629.463
1973/10/14,1973,1616.009
1973/10/14,1973,1570.959
1973/10/14,1973,1535.089
1973/10/14,1973,1485.621
1973/10/14,1973,1489.484
1973/10/14,1973,1275.647
1973/10/14,1973,1382.23
1973/10/14,1973,1427.016
1973/10/14,1973,1453.039
1973/10/14,1973,1412.399
1973/10/14,1973,1530.738
1973/10/14,1973,1338.071
1973/10/15,1973,1539.17
1973/10/21,1973,1631.245
1973/10/21,1973,1602.872
1973/10/21,1973,1714.424
1973/10/21,1973,1376.043
1973/10/21,1973,1388.312
1973/10/21,1973,1492.4
1973/10/21,1973,1554.074
1973/10/21,1973,1652.254
1973/10/21,1973,1662.264
1973/10/21,1973,1546.93
1973/10/21,1973,1546.062
1973/10/21,1973,1635.097
1973/10/22,1973,1460.677
1973/10/28,1973,1643.202
1973/10/28,1973,1350.439
1973/10/28,1973,1416.918
1973/10/28,1973,1402.902
1973/10/28,1973,1440.139
1973/10/28,1973,1527.3
1973/10/28,1973,1397.435
1973/10/28,1973,1445.013
1973/10/28,1973,1399.241
1973/10/28,1973,1510.756
1973/10/28,1973,1537.92
1973/10/28,1973,1657.385
1973/10/29,1973,1470.87
1973/11/4,1973,1584.066
1973/11/4,1973,1442.342
1973/11/4,1973,1568.551
1973/11/4,1973,1370.074
1973/11/4,1973,1361.249
1973/11/4,1973,1545.093
1973/11/4,1973,1439.629
1973/11/4,1973,1403.747
1973/11/4,1973,1626.144
1973/11/4,1973,1672.454
1973/11/4,1973,1435.06
1973/11/4,1973,1473.513
1973/11/5,1973,1655.747
1973/11/11,1973,1505.081
1973/11/11,1973,1686.574
1973/11/11,1973,1418.647
1973/11/11,1973,1615.902
1973/11/11,1973,1383.829
1973/11/11,1973,1268.895
1973/11/11,1973,1737.29
1973/11/11,1973,1484.646
1973/11/11,1973,1431.893
1973/11/11,1973,1451.658
1973/11/11,1973,1601.545
1973/11/11,1973,1629.972
1973/11/12,1973,1551.735
1973/11/18,1973,1421.45
1973/11/18,1973,1621.268
1973/11/18,1973,1359.452
1973/11/18,1973,1541.826
1973/11/18,1973,1637.303
1973/11/18,1973,1558.348
1973/11/18,1973,1578.218
1973/11/18,1973,1439.072
1973/11/18,1973,1612.601
1973/11/18,1973,1404.228
1973/11/18,1973,1364.788
1973/11/18,1973,1641.847
1973/11/19,1973,1610.103
1973/11/22,1973,1528.523
1973/11/22,1973,1596.462
1973/11/25,1973,1425.714
1973/11/25,1973,1390.984
1973/11/25,1973,1576.722
1973/11/25,1973,1231.003
1973/11/25,1973,1338.667
1973/11/25,1973,1554.872
1973/11/25,1973,1561.371
1973/11/25,1973,1588.237
1973/11/25,1973,1671.761
1973/11/25,1973,1403.297
1973/11/26,1973,1485.486
1973/12/2,1973,1594.059
1973/12/2,1973,1655.821
1973/12/2,1973,1410.163
1973/12/2,1973,1455.281
1973/12/2,1973,1224.124
1973/12/2,1973,1382.453
1973/12/2,1973,1533.135
1973/12/2,1973,1498.245
1973/12/2,1973,1433.342
1973/12/2,1973,1543.639
1973/12/2,1973,1579.813
1973/12/2,1973,1382.369
1973/12/3,1973,1770.615
1973/12/8,1973,1434.223
1973/12/8,1973,1617.187
1973/12/9,1973,1506.094
1973/12/9,1973,1384.929
1973/12/9,1973,1388.05
1973/12/9,1973,1651.767
1973/12/9,1973,1615.562
1973/12/9,1973,1521.493
1973/12/9,1973,1615.539
1973/12/9,1973,1404.799
1973/12/9,1973,1554.935
1973/12/9,1973,1319.111
1973/12/10,1973,1678.738
1973/12/15,1973,1451.215
1973/12/15,1973,1726.686
1973/12/16,1973,1217.229
1973/12/16,1973,1394.814
1973/12/16,1973,1402.434
1973/12/16,1973,1626.83
1973/12/16,1973,1397.649
1973/12/16,1973,1421.934
1973/12/16,1973,1529.224
1973/12/16,1973,1636.218
1973/12/16,1973,1337.689
1973/12/16,1973,1691.099
1973/12/16,1973,1532.061
1973/12/22,1973,1651.738
1973/12/22,1973,1683.785
1973/12/23,1973,1741.414
1973/12/23,1973,1691.86
1973/12/30,1973,1757.133
1973/12/30,1973,1655.766
1974/1/13,1973,1694.493
1974/9/15,1974,1508.843
1974/9/15,1974,1592.865
1974/9/15,1974,1421.45
1974/9/15,1974,1420.749
1974/9/15,1974,1333.666
1974/9/15,1974,1534.993
1974/9/15,1974,1415.383
1974/9/15,1974,1460.328
1974/9/15,1974,1491.018
1974/9/15,1974,1593.23
1974/9/15,1974,1458.323
1974/9/15,1974,1460.951
1974/9/16,1974,1532.04
1974/9/22,1974,1643.513
1974/9/22,1974,1565.797
1974/9/22,1974,1407.362
1974/9/22,1974,1605.022
1974/9/22,1974,1497.187
1974/9/22,1974,1518.5
1974/9/22,1974,1513.798
1974/9/22,1974,1466.976
1974/9/22,1974,1397.545
1974/9/22,1974,1509.677
1974/9/22,1974,1399.167
1974/9/22,1974,1558.392
1974/9/23,1974,1430.124
1974/9/29,1974,1558.029
1974/9/29,1974,1572.088
1974/9/29,1974,1309.341
1974/9/29,1974,1522.576
1974/9/29,1974,1480.412
1974/9/29,1974,1451.439
1974/9/29,1974,1412.908
1974/9/29,1974,1660.439
1974/9/29,1974,1490.368
1974/9/29,1974,1372.759
1974/9/29,1974,1522.981
1974/9/29,1974,1509.949
1974/9/30,1974,1580.061
1974/10/6,1974,1425.626
1974/10/6,1974,1445.328
1974/10/6,1974,1415.697
1974/10/6,1974,1561.946
1974/10/6,1974,1300.081
1974/10/6,1974,1526.424
1974/10/6,1974,1511.189
1974/10/6,1974,1470.5
1974/10/6,1974,1614.697
1974/10/6,1974,1354.181
1974/10/6,1974,1456.596
1974/10/6,1974,1624.056
1974/10/7,1974,1679.969
1974/10/13,1974,1675.283
1974/10/13,1974,1492.715
1974/10/13,1974,1520.573
1974/10/13,1974,1491.4
1974/10/13,1974,1348.378
1974/10/13,1974,1490.129
1974/10/13,1974,1568.817
1974/10/13,1974,1486.496
1974/10/13,1974,1393.719
1974/10/13,1974,1577.969
